WorkflowID,StaffRole,TaskName,TimeMinutes,Date,EPRPeriod
W421001,Nurse,Discharge Summary,9,2024-04-26,AfterEPR
W865804,Nurse,Documentation,6,2024-10-13,AfterEPR
W392197,Admin,Documentation,7,2024-09-18,AfterEPR
W388317,Doctor,Documentation,15,2018-04-19,BeforeEPR
W403099,Nurse,Ordering Tests,2,2024-04-25,AfterEPR
W634264,Doctor,Discharge Summary,7,2024-12-22,AfterEPR
W603740,Nurse,Ordering Tests,6,2018-11-21,BeforeEPR
W658731,Nurse,Ordering Tests,3,2024-07-16,AfterEPR
W685104,Doctor,Updating Notes,5,2018-03-20,BeforeEPR
W436534,Doctor,Ordering Tests,3,2023-05-12,AfterEPR
W228124,Nurse,Updating Notes,3,2022-02-04,AfterEPR
W773713,Nurse,Documentation,11,2020-09-09,BeforeEPR
W708895,Doctor,Discharge Summary,9,2021-11-18,BeforeEPR
W257340,Doctor,Discharge Summary,15,2021-05-24,BeforeEPR
W866261,Admin,Updating Notes,2,2022-10-14,AfterEPR
W610586,Nurse,Updating Notes,4,2019-12-27,BeforeEPR
W671405,Admin,Documentation,6,2023-10-01,AfterEPR
W220956,Admin,Updating Notes,2,2024-03-27,AfterEPR
W479629,Admin,Discharge Summary,15,2021-03-17,BeforeEPR
W813692,Doctor,Documentation,6,2024-03-23,AfterEPR
W600065,Doctor,Updating Notes,5,2020-04-13,BeforeEPR
W650564,Doctor,Ordering Tests,3,2022-03-21,AfterEPR
W386516,Admin,Updating Notes,3,2022-12-05,AfterEPR
W387790,Nurse,Ordering Tests,7,2019-11-25,BeforeEPR
W954343,Admin,Ordering Tests,5,2019-08-23,BeforeEPR
W321622,Doctor,Ordering Tests,6,2020-06-04,BeforeEPR
W848479,Doctor,Discharge Summary,8,2023-07-01,AfterEPR
W971472,Nurse,Documentation,5,2022-02-01,AfterEPR
W786953,Nurse,Documentation,11,2019-09-02,BeforeEPR
W871113,Admin,Documentation,6,2023-08-25,AfterEPR
W549837,Nurse,Ordering Tests,5,2021-08-14,BeforeEPR
W919427,Doctor,Ordering Tests,5,2021-11-05,BeforeEPR
W467104,Admin,Ordering Tests,7,2018-06-23,BeforeEPR
W600609,Nurse,Discharge Summary,17,2020-01-27,BeforeEPR
W441921,Nurse,Discharge Summary,7,2023-11-10,AfterEPR
W426722,Nurse,Ordering Tests,4,2021-04-27,BeforeEPR
W438972,Nurse,Ordering Tests,5,2021-10-25,BeforeEPR
W434113,Nurse,Documentation,6,2022-07-15,AfterEPR
W131420,Doctor,Ordering Tests,2,2024-06-09,AfterEPR
W594630,Admin,Updating Notes,5,2020-05-15,BeforeEPR
W786404,Nurse,Documentation,5,2022-08-08,AfterEPR
W666077,Nurse,Updating Notes,4,2019-05-05,BeforeEPR
W464383,Admin,Documentation,9,2021-06-01,BeforeEPR
W242059,Doctor,Updating Notes,2,2022-09-02,AfterEPR
W124002,Nurse,Updating Notes,4,2021-06-21,BeforeEPR
W472248,Admin,Discharge Summary,8,2022-11-07,AfterEPR
W328524,Admin,Documentation,14,2018-07-11,BeforeEPR
W146127,Doctor,Documentation,7,2024-08-02,AfterEPR
W449338,Nurse,Updating Notes,4,2019-04-19,BeforeEPR
W475959,Doctor,Updating Notes,3,2022-01-10,AfterEPR
W301636,Nurse,Updating Notes,2,2024-01-09,AfterEPR
W793615,Admin,Documentation,7,2023-04-06,AfterEPR
W175926,Doctor,Updating Notes,2,2022-07-12,AfterEPR
W794698,Doctor,Updating Notes,3,2021-01-18,BeforeEPR
W787390,Doctor,Ordering Tests,5,2019-09-10,BeforeEPR
W352168,Admin,Documentation,8,2023-08-07,AfterEPR
W588564,Doctor,Ordering Tests,6,2019-10-19,BeforeEPR
W433339,Admin,Discharge Summary,10,2022-06-19,AfterEPR
W967057,Doctor,Ordering Tests,5,2019-10-12,BeforeEPR
W977660,Doctor,Updating Notes,2,2022-01-23,AfterEPR
W298371,Admin,Updating Notes,5,2021-03-20,BeforeEPR
W686536,Doctor,Updating Notes,2,2023-07-19,AfterEPR
W446926,Nurse,Ordering Tests,3,2023-04-02,AfterEPR
W991063,Nurse,Ordering Tests,3,2024-06-08,AfterEPR
W317816,Admin,Documentation,11,2018-06-16,BeforeEPR
W534556,Nurse,Discharge Summary,8,2023-03-10,AfterEPR
W267928,Nurse,Discharge Summary,14,2020-02-14,BeforeEPR
W103036,Doctor,Updating Notes,2,2024-08-20,AfterEPR
W962289,Doctor,Updating Notes,5,2020-07-14,BeforeEPR
W994259,Doctor,Documentation,12,2018-02-04,BeforeEPR
W356442,Doctor,Ordering Tests,6,2020-04-05,BeforeEPR
W389448,Admin,Documentation,7,2021-07-26,BeforeEPR
W946587,Admin,Ordering Tests,6,2020-09-01,BeforeEPR
W663768,Doctor,Updating Notes,3,2023-05-27,AfterEPR
W551655,Nurse,Ordering Tests,2,2023-10-09,AfterEPR
W277860,Admin,Discharge Summary,9,2023-02-08,AfterEPR
W654138,Doctor,Updating Notes,3,2023-06-06,AfterEPR
W425607,Doctor,Ordering Tests,6,2020-05-08,BeforeEPR
W964157,Admin,Ordering Tests,5,2021-10-20,BeforeEPR
W348006,Doctor,Documentation,6,2024-07-01,AfterEPR
W962856,Nurse,Discharge Summary,8,2023-05-08,AfterEPR
W791052,Admin,Discharge Summary,9,2022-08-20,AfterEPR
W214167,Nurse,Documentation,6,2023-02-26,AfterEPR
W681940,Nurse,Updating Notes,2,2022-07-19,AfterEPR
W673958,Admin,Updating Notes,3,2024-03-03,AfterEPR
W130621,Doctor,Documentation,13,2021-12-03,BeforeEPR
W501080,Nurse,Ordering Tests,6,2018-11-10,BeforeEPR
W410145,Nurse,Discharge Summary,11,2022-11-09,AfterEPR
W505958,Nurse,Discharge Summary,10,2022-12-23,AfterEPR
W851598,Doctor,Documentation,5,2024-08-24,AfterEPR
W708906,Nurse,Updating Notes,3,2024-12-11,AfterEPR
W892019,Nurse,Ordering Tests,5,2019-04-03,BeforeEPR
W670830,Doctor,Ordering Tests,6,2020-10-07,BeforeEPR
W141510,Doctor,Updating Notes,3,2024-05-23,AfterEPR
W685189,Admin,Ordering Tests,5,2018-10-23,BeforeEPR
W318681,Nurse,Updating Notes,4,2020-01-25,BeforeEPR
W718136,Nurse,Ordering Tests,5,2019-06-08,BeforeEPR
W287324,Doctor,Ordering Tests,5,2019-01-19,BeforeEPR
W571080,Nurse,Ordering Tests,2,2023-10-20,AfterEPR
W855125,Admin,Documentation,6,2023-03-12,AfterEPR
W312153,Doctor,Ordering Tests,3,2022-10-23,AfterEPR
W260016,Admin,Discharge Summary,11,2022-04-17,AfterEPR
W463547,Admin,Ordering Tests,2,2023-04-14,AfterEPR
W859196,Doctor,Updating Notes,4,2019-10-06,BeforeEPR
W546994,Doctor,Discharge Summary,9,2022-11-11,AfterEPR
W319950,Doctor,Discharge Summary,15,2018-08-23,BeforeEPR
W106265,Doctor,Ordering Tests,3,2023-08-12,AfterEPR
W448653,Admin,Ordering Tests,2,2023-04-11,AfterEPR
W496545,Doctor,Discharge Summary,8,2024-04-08,AfterEPR
W817156,Doctor,Documentation,13,2019-10-14,BeforeEPR
W702393,Nurse,Discharge Summary,9,2023-07-08,AfterEPR
W352981,Nurse,Updating Notes,5,2018-12-07,BeforeEPR
W197903,Admin,Ordering Tests,4,2019-10-02,BeforeEPR
W452314,Nurse,Ordering Tests,2,2023-08-26,AfterEPR
W106708,Doctor,Documentation,10,2021-01-05,BeforeEPR
W562729,Admin,Ordering Tests,5,2018-09-07,BeforeEPR
W513511,Doctor,Documentation,13,2020-10-04,BeforeEPR
W635285,Doctor,Updating Notes,5,2019-06-22,BeforeEPR
W706947,Nurse,Ordering Tests,7,2021-07-20,BeforeEPR
W906031,Admin,Discharge Summary,16,2019-12-01,BeforeEPR
W451654,Doctor,Ordering Tests,4,2018-02-22,BeforeEPR
W947258,Doctor,Documentation,12,2019-05-02,BeforeEPR
W854881,Doctor,Documentation,7,2022-04-08,AfterEPR
W605826,Nurse,Discharge Summary,14,2020-10-05,BeforeEPR
W593184,Admin,Discharge Summary,9,2024-04-04,AfterEPR
W238674,Admin,Discharge Summary,9,2024-08-17,AfterEPR
W805169,Nurse,Updating Notes,3,2022-06-18,AfterEPR
W727773,Admin,Updating Notes,3,2023-04-20,AfterEPR
W278753,Admin,Ordering Tests,5,2018-05-24,BeforeEPR
W546435,Admin,Discharge Summary,11,2019-04-22,BeforeEPR
W529414,Admin,Updating Notes,3,2018-03-22,BeforeEPR
W506509,Doctor,Ordering Tests,2,2024-06-11,AfterEPR
W704789,Admin,Updating Notes,2,2024-12-01,AfterEPR
W230418,Nurse,Discharge Summary,11,2018-07-09,BeforeEPR
W139770,Nurse,Ordering Tests,4,2019-10-07,BeforeEPR
