WorkflowID,StaffRole,TaskName,TimeMinutes,Date,EPRPeriod,Year
W421001,Nurse,Discharge Summary,9,2024-04-26,AfterEPR,2024
W865804,Nurse,Documentation,6,2024-10-13,AfterEPR,2024
W392197,Admin,Documentation,7,2024-09-18,AfterEPR,2024
W388317,Doctor,Documentation,15,2018-04-19,BeforeEPR,2018
W403099,Nurse,Ordering Tests,2,2024-04-25,AfterEPR,2024
W634264,Doctor,Discharge Summary,7,2024-12-22,AfterEPR,2024
W603740,Nurse,Ordering Tests,6,2018-11-21,BeforeEPR,2018
W658731,Nurse,Ordering Tests,3,2024-07-16,AfterEPR,2024
W685104,Doctor,Updating Notes,5,2018-03-20,BeforeEPR,2018
W436534,Doctor,Ordering Tests,3,2023-05-12,AfterEPR,2023
W228124,Nurse,Updating Notes,3,2022-02-04,AfterEPR,2022
W773713,Nurse,Documentation,11,2020-09-09,BeforeEPR,2020
W708895,Doctor,Discharge Summary,9,2021-11-18,BeforeEPR,2021
W257340,Doctor,Discharge Summary,15,2021-05-24,BeforeEPR,2021
W866261,Admin,Updating Notes,2,2022-10-14,AfterEPR,2022
W610586,Nurse,Updating Notes,4,2019-12-27,BeforeEPR,2019
W671405,Admin,Documentation,6,2023-10-01,AfterEPR,2023
W220956,Admin,Updating Notes,2,2024-03-27,AfterEPR,2024
W479629,Admin,Discharge Summary,15,2021-03-17,BeforeEPR,2021
W813692,Doctor,Documentation,6,2024-03-23,AfterEPR,2024
W600065,Doctor,Updating Notes,5,2020-04-13,BeforeEPR,2020
W650564,Doctor,Ordering Tests,3,2022-03-21,AfterEPR,2022
W386516,Admin,Updating Notes,3,2022-12-05,AfterEPR,2022
W387790,Nurse,Ordering Tests,7,2019-11-25,BeforeEPR,2019
W954343,Admin,Ordering Tests,5,2019-08-23,BeforeEPR,2019
W321622,Doctor,Ordering Tests,6,2020-06-04,BeforeEPR,2020
W848479,Doctor,Discharge Summary,8,2023-07-01,AfterEPR,2023
W971472,Nurse,Documentation,5,2022-02-01,AfterEPR,2022
W786953,Nurse,Documentation,11,2019-09-02,BeforeEPR,2019
W871113,Admin,Documentation,6,2023-08-25,AfterEPR,2023
W549837,Nurse,Ordering Tests,5,2021-08-14,BeforeEPR,2021
W919427,Doctor,Ordering Tests,5,2021-11-05,BeforeEPR,2021
W467104,Admin,Ordering Tests,7,2018-06-23,BeforeEPR,2018
W600609,Nurse,Discharge Summary,17,2020-01-27,BeforeEPR,2020
W441921,Nurse,Discharge Summary,7,2023-11-10,AfterEPR,2023
W426722,Nurse,Ordering Tests,4,2021-04-27,BeforeEPR,2021
W438972,Nurse,Ordering Tests,5,2021-10-25,BeforeEPR,2021
W434113,Nurse,Documentation,6,2022-07-15,AfterEPR,2022
W131420,Doctor,Ordering Tests,2,2024-06-09,AfterEPR,2024
W594630,Admin,Updating Notes,5,2020-05-15,BeforeEPR,2020
W786404,Nurse,Documentation,5,2022-08-08,AfterEPR,2022
W666077,Nurse,Updating Notes,4,2019-05-05,BeforeEPR,2019
W464383,Admin,Documentation,9,2021-06-01,BeforeEPR,2021
W242059,Doctor,Updating Notes,2,2022-09-02,AfterEPR,2022
W124002,Nurse,Updating Notes,4,2021-06-21,BeforeEPR,2021
W472248,Admin,Discharge Summary,8,2022-11-07,AfterEPR,2022
W328524,Admin,Documentation,14,2018-07-11,BeforeEPR,2018
W146127,Doctor,Documentation,7,2024-08-02,AfterEPR,2024
W449338,Nurse,Updating Notes,4,2019-04-19,BeforeEPR,2019
